nazwa,lat,lon,data,PM25,temperatura,wilgotnosc
Katowice,50.2643,19.0235,2025-01-01,31.6,-0.8,71.1
Sosnowiec,50.2779,19.1267,2025-01-01,26.5,-9.0,62.6
Dąbrowa Górnicza,50.3215,19.1949,2025-01-01,34.5,-0.3,64.4
Czeladź,50.3173,19.0705,2025-01-01,36.0,-4.9,45.3
Mysłowice,50.2422,19.1383,2025-01-01,35.1,2.7,64.2
Piekary Śląskie,50.3802,18.9265,2025-01-01,26.2,3.8,49.3
Chorzów,50.3058,18.9742,2025-01-01,32.9,-4.9,53.7
Bytom,50.35,18.91,2025-01-01,37.5,1.0,70.1
Zabrze,50.3249,18.7858,2025-01-01,38.0,4.5,82.1
Gliwice,50.31,18.67,2025-01-01,25.6,0.5,56.4
Mikołów,50.179,18.904,2025-01-01,33.3,8.6,75.9
Ruda Śląska,50.2584,18.8563,2025-01-01,35.1,4.1,59.2
Tarnowskie Góry,50.4455,18.8615,2025-01-01,29.7,8.0,42.6
Pyskowice,50.3956,18.6345,2025-01-01,28.3,6.8,51.2
Katowice,50.2643,19.0235,2025-01-02,32.8,-0.8,72.7
Sosnowiec,50.2779,19.1267,2025-01-02,25.8,-8.6,62.8
Dąbrowa Górnicza,50.3215,19.1949,2025-01-02,35.4,-0.3,67.1
Czeladź,50.3173,19.0705,2025-01-02,37.2,-4.7,47.4
Mysłowice,50.2422,19.1383,2025-01-02,35.6,2.7,65.0
Piekary Śląskie,50.3802,18.9265,2025-01-02,26.3,3.7,51.7
Chorzów,50.3058,18.9742,2025-01-02,33.3,-4.8,54.9
Bytom,50.35,18.91,2025-01-02,38.1,1.0,66.9
Zabrze,50.3249,18.7858,2025-01-02,38.0,4.4,85.3
Gliwice,50.31,18.67,2025-01-02,25.1,0.5,56.6
Mikołów,50.179,18.904,2025-01-02,32.5,8.9,73.3
Ruda Śląska,50.2584,18.8563,2025-01-02,35.4,4.0,57.0
Tarnowskie Góry,50.4455,18.8615,2025-01-02,29.9,7.9,41.8
Pyskowice,50.3956,18.6345,2025-01-02,29.6,6.5,51.3
Katowice,50.2643,19.0235,2025-01-03,33.0,-0.8,70.9
Sosnowiec,50.2779,19.1267,2025-01-03,25.8,-8.9,65.2
Dąbrowa Górnicza,50.3215,19.1949,2025-01-03,36.7,-0.3,66.9
Czeladź,50.3173,19.0705,2025-01-03,36.5,-4.8,46.0
Mysłowice,50.2422,19.1383,2025-01-03,34.4,2.6,63.9
Piekary Śląskie,50.3802,18.9265,2025-01-03,27.0,3.7,50.3
Chorzów,50.3058,18.9742,2025-01-03,34.8,-4.6,57.6
Bytom,50.35,18.91,2025-01-03,37.2,1.0,64.6
Zabrze,50.3249,18.7858,2025-01-03,38.7,4.3,84.7
Gliwice,50.31,18.67,2025-01-03,26.3,0.5,58.7
Mikołów,50.179,18.904,2025-01-03,32.8,8.8,73.0
Ruda Śląska,50.2584,18.8563,2025-01-03,36.0,3.8,56.9
Tarnowskie Góry,50.4455,18.8615,2025-01-03,29.9,7.9,43.4
Pyskowice,50.3956,18.6345,2025-01-03,30.1,6.3,51.5
Katowice,50.2643,19.0235,2025-01-04,34.3,-0.8,73.6
Sosnowiec,50.2779,19.1267,2025-01-04,25.9,-9.2,64.5
Dąbrowa Górnicza,50.3215,19.1949,2025-01-04,35.1,-0.3,68.2
Czeladź,50.3173,19.0705,2025-01-04,36.2,-4.8,47.3
Mysłowice,50.2422,19.1383,2025-01-04,33.2,2.5,66.6
Piekary Śląskie,50.3802,18.9265,2025-01-04,26.0,3.9,48.8
Chorzów,50.3058,18.9742,2025-01-04,34.8,-4.4,58.2
Bytom,50.35,18.91,2025-01-04,38.4,1.0,61.5
Zabrze,50.3249,18.7858,2025-01-04,39.2,4.3,85.6
Gliwice,50.31,18.67,2025-01-04,27.4,0.5,61.2
Mikołów,50.179,18.904,2025-01-04,32.1,8.4,72.2
Ruda Śląska,50.2584,18.8563,2025-01-04,37.3,3.8,58.5
Tarnowskie Góry,50.4455,18.8615,2025-01-04,28.8,7.8,42.4
Pyskowice,50.3956,18.6345,2025-01-04,29.5,6.5,53.6
Katowice,50.2643,19.0235,2025-01-05,33.6,-0.8,77.0
Sosnowiec,50.2779,19.1267,2025-01-05,25.0,-8.9,62.9
Dąbrowa Górnicza,50.3215,19.1949,2025-01-05,36.4,-0.3,69.1
Czeladź,50.3173,19.0705,2025-01-05,35.2,-4.6,47.5
Mysłowice,50.2422,19.1383,2025-01-05,34.2,2.4,64.4
Piekary Śląskie,50.3802,18.9265,2025-01-05,25.4,3.7,49.5
Chorzów,50.3058,18.9742,2025-01-05,36.2,-4.3,59.6
Bytom,50.35,18.91,2025-01-05,38.6,1.0,58.6
Zabrze,50.3249,18.7858,2025-01-05,38.1,4.4,84.3
